x,y,z
2.300999999999999943e+02,3.779999999999999716e+01,2.210000000000000142e+01
4.450000000000000000e+01,3.929999999999999716e+01,1.040000000000000036e+01
1.719999999999999929e+01,4.589999999999999858e+01,9.300000000000000711e+00
1.515000000000000000e+02,4.129999999999999716e+01,1.850000000000000000e+01
1.808000000000000114e+02,1.080000000000000071e+01,1.290000000000000036e+01
8.699999999999999289e+00,4.889999999999999858e+01,7.200000000000000178e+00
5.750000000000000000e+01,3.279999999999999716e+01,1.180000000000000071e+01
1.202000000000000028e+02,1.960000000000000142e+01,1.319999999999999929e+01
8.599999999999999645e+00,2.100000000000000089e+00,4.799999999999999822e+00
1.998000000000000114e+02,2.600000000000000089e+00,1.059999999999999964e+01
6.609999999999999432e+01,5.799999999999999822e+00,8.599999999999999645e+00
2.146999999999999886e+02,2.400000000000000000e+01,1.739999999999999858e+01
2.380000000000000071e+01,3.510000000000000142e+01,9.199999999999999289e+00
9.750000000000000000e+01,7.599999999999999645e+00,9.699999999999999289e+00
2.040999999999999943e+02,3.289999999999999858e+01,1.900000000000000000e+01
1.954000000000000057e+02,4.770000000000000284e+01,2.239999999999999858e+01
6.779999999999999716e+01,3.660000000000000142e+01,1.250000000000000000e+01
2.813999999999999773e+02,3.960000000000000142e+01,2.439999999999999858e+01
6.920000000000000284e+01,2.050000000000000000e+01,1.130000000000000071e+01
1.473000000000000114e+02,2.389999999999999858e+01,1.459999999999999964e+01
2.184000000000000057e+02,2.769999999999999929e+01,1.800000000000000000e+01
2.374000000000000057e+02,5.099999999999999645e+00,1.250000000000000000e+01
1.319999999999999929e+01,1.590000000000000036e+01,5.599999999999999645e+00
2.283000000000000114e+02,1.689999999999999858e+01,1.550000000000000000e+01
6.229999999999999716e+01,1.259999999999999964e+01,9.699999999999999289e+00
2.628999999999999773e+02,3.500000000000000000e+00,1.200000000000000000e+01
1.429000000000000057e+02,2.930000000000000071e+01,1.500000000000000000e+01
2.400999999999999943e+02,1.669999999999999929e+01,1.590000000000000036e+01
2.488000000000000114e+02,2.710000000000000142e+01,1.889999999999999858e+01
7.059999999999999432e+01,1.600000000000000000e+01,1.050000000000000000e+01
2.928999999999999773e+02,2.830000000000000071e+01,2.139999999999999858e+01
1.129000000000000057e+02,1.739999999999999858e+01,1.190000000000000036e+01
9.720000000000000284e+01,1.500000000000000000e+00,9.599999999999999645e+00
2.656000000000000227e+02,2.000000000000000000e+01,1.739999999999999858e+01
9.570000000000000284e+01,1.399999999999999911e+00,9.500000000000000000e+00
2.906999999999999886e+02,4.099999999999999645e+00,1.280000000000000071e+01
2.668999999999999773e+02,4.379999999999999716e+01,2.539999999999999858e+01
7.470000000000000284e+01,4.939999999999999858e+01,1.469999999999999929e+01
4.310000000000000142e+01,2.669999999999999929e+01,1.009999999999999964e+01
